Customer_ID,Fiscal_Quarter,Transaction_Amount_Local,FX_Rate_To_USD,Discount_Pct
13053,Q3-2025,20431,0.018,7.9
14041,Q3-2023,7724,1.0,9.0
13498,Q1-2025,1110,0.018,15.9
12917,Q4-2027,6138,0.14,8.5
12336,Q1-2023,3043,0.0001,18.4
12649,Q3-2024,2775,1.27,9.3
13836,Q3-2025,1130,1.0,14.8
11994,Q4-2024,46411,0.095,1.9
13598,Q1-2025,20669,0.032,14.9
14092,Q3-2022,22069,1.09,
13057,Q2-2025,19138,0.27,15.2
10701,Q1-2024,14855,0.74,7.3
12849,Q3-2022,849,0.2,
13453,Q3-2023,12729,0.74,5.7
11225,Q1-2026,49434,0.25,7.7
13030,Q4-2024,3358,0.27,19.7
10694,Q1-2025,6153,0.0008,11.7
13075,Q1-2023,5256,0.0091,29.2
13101,Q3-2023,2108,0.2,18.3
10828,Q2-2023,15807,0.0003,9.0
12586,Q4-2023,351,1.09,25.4
10480,Q2-2024,2205,0.0031,15.9
14961,Q1-2022,16833,1.09,11.0
11002,Q3-2024,4195,1.0,13.7
14443,Q3-2023,3421,0.012,25.8
14602,Q2-2025,1597,0.2,40.4
13720,Q1-2023,11968,1.0,20.2
14800,Q2-2023,467,1.09,14.7
11274,Q3-2024,7542,1.0,2.9
10653,Q4-2023,1017,0.27,7.0
10306,Q2-2025,10830,0.054,17.4
13786,Q2-2024,1280,0.0011,22.5
14180,Q4-2024,2266,1.0,21.5
12563,Q2-2025,399,1.0,14.3
12066,Q4-2024,878,0.65,19.9
14367,Q2-2024,200,0.012,31.7
12878,Q1-2023,3729,0.65,18.8
10165,Q3-2023,15370,0.032,13.7
11102,Q1-2024,1220,0.2,24.0
11174,Q1-2025,5363,0.096,8.3
14319,Q1-2025,1941,0.65,
13678,Q2-2025,7553,0.098,8.5
13248,Q3-2025,3647,1.0,26.0
13666,Q1-2023,4698,0.0006,19.1
12392,Q2-2024,2668,1.0,3.6
14903,Q3-2025,80093,0.012,
13546,Q1-2024,5653,0.25,13.1
13308,Q1-2022,1751,0.27,5.1
11629,Q1-2023,51491,0.2,7.3
14914,Q1-2025,6798,0.0003,35.7
12912,Q4-2023,75084,0.74,2.9
11124,Q3-2025,27265,1.09,
14414,Q3-2025,8001,0.61,6.2
11078,Q2-2025,3243,1.09,16.4
12769,Q3-2024,2640,0.032,37.0
13901,Q2-2026,1832,0.058,18.8
10086,Q3-2025,3375,1.09,10.6
11803,Q1-2028,5581,1.13,6.2
13268,Q2-2024,34381,0.2,7.5
14032,Q2-2023,202,0.018,23.4
14087,Q4-2024,4060,0.27,11.0
14071,Q3-2025,668,0.2,20.2
13175,Q3-2024,2986,1.0,12.7
10439,Q2-2025,8922,0.22,7.1
10719,Q4-2024,1035,1.0,14.0
11358,Q1-2025,4760,0.22,17.0
13889,Q1-2023,1207,0.65,35.6
13809,Q1-2022,3574,0.018,24.3
11265,Q2-2023,6572,1.09,
10604,Q1-2025,3675,0.018,5.4
11903,Q2-2022,194,0.012,20.2
11959,Q3-2024,8486,1.09,22.7
13255,Q2-2022,58235,0.012,
13360,Q3-2025,1794,0.74,11.8
10853,Q2-2023,3667,1.0,27.1
14707,Q3-2023,7222,0.0067,0.0
12226,Q2-2026,4234,1.0,10.3
14479,Q4-2024,13037,1.09,31.7
13960,Q4-2023,5651,0.27,22.2
13687,Q3-2022,14926,0.65,14.0
14851,Q2-2024,10063,0.0003,11.3
10995,Q1-2023,3247,0.22,28.7
11995,Q2-2023,874,0.65,11.5
12738,Q1-2025,5674,1.09,12.0
13778,Q4-2022,9456,0.65,5.8
14905,Q4-2023,852,0.27,6.3
12301,Q3-2023,14614,1.09,24.4
14826,Q3-2024,1433,1.0,30.1
11909,Q4-2026,3185,0.0036,39.5
10291,Q3-2024,18146,1.09,21.1
10743,Q2-2024,12235,0.65,19.3
11984,Q3-2023,9565,0.0067,0.0
12337,Q4-2023,13067,0.032,19.1
10275,Q2-2022,5945,1.09,5.2
12766,Q3-2023,800,1.0,
14515,Q4-2023,6823,0.058,1.3
13667,Q1-2023,1278,1.09,5.7
13043,Q1-2025,2022,0.0008,20.8
14641,Q4-2022,7273,0.012,10.9
12075,Q3-2022,3095,0.65,11.2
12148,Q1-2025,19001,0.0067,27.9
13625,Q4-2023,2361,1.09,8.5
10348,Q2-2022,11366,0.0067,6.6
13027,Q1-2022,14717,1.09,3.6
10728,Q2-2024,1342,1.09,10.5
14751,Q2-2025,5000,0.61,11.3
13744,Q3-2022,2942,0.012,18.5
14915,Q4-2024,1849,1.09,18.2
12923,Q1-2024,37348,0.74,2.0
13268,Q2-2024,35599,0.2,8.5
14129,Q2-2023,1592,1.27,13.4
13856,Q2-2022,2558,0.058,9.3
11430,Q1-2023,416,0.74,20.0
14766,Q4-2023,21541,1.09,9.7
11649,Q4-2024,4674,0.018,29.7
12831,Q2-2022,3200,0.128,9.9
10584,Q3-2023,602,0.012,27.3
12028,Q2-2022,3094,0.0003,20.0
13773,Q3-2023,10529,0.012,9.3
14279,Q1-2024,29139,1.27,
13179,Q3-2023,4740,1.09,6.5
11282,Q1-2025,216,0.27,31.9
13261,Q1-2025,4118,1.09,8.9
10340,Q4-2023,9340,1.27,18.8
10229,Q4-2022,8920,0.2,18.5
14194,Q1-2022,6142,0.0011,19.7
10533,Q4-2025,1978,0.095,13.7
13872,Q3-2022,7900,0.14,4.9
10717,Q2-2024,3960,0.74,6.0
11158,Q3-2027,17261,1.0,6.6
12860,Q2-2024,3440,0.0067,10.7
10468,Q3-2022,1241,0.74,23.2
13921,Q1-2025,13498,1.09,9.8
12592,Q4-2024,1613,0.018,22.7
14859,Q4-2024,25036,0.095,5.6
13080,Q1-2022,11966,0.0036,
12754,Q2-2027,6270,0.0008,5.9
14751,Q2-2026,7531,0.61,7.5
11929,Q1-2025,23888,1.27,15.4
12217,Q3-2024,6257,0.012,0.0
10377,Q1-2024,11681,0.0011,27.0
10811,Q1-2022,40753,0.147,2.6
10412,Q4-2022,13285,0.65,7.3
11450,Q3-2024,7682,0.0067,0.0
13484,Q2-2025,800,1.09,5.4
13545,Q3-2025,1542,1.09,16.4
12297,Q4-2025,18216,0.012,
10153,Q3-2022,40313,1.09,12.6
10627,Q2-2024,7512,0.012,12.8
14480,Q3-2024,6899,0.012,40.1
10982,Q3-2023,5090,1.09,23.5
12125,Q1-2023,4039,1.27,10.4
11106,Q3-2022,4923,0.128,11.6
13435,Q4-2022,31890,0.0067,11.6
14322,Q3-2024,11377,1.27,5.3
10997,Q3-2023,6564,0.27,8.0
11576,Q4-2027,1852,0.27,2.6
10358,Q1-2023,1706,1.09,4.7
10840,Q1-2025,1180,0.2,18.1
12267,Q2-2025,2298,1.27,11.7
14326,Q4-2024,7598,1.09,9.4
12253,Q3-2022,1125,0.0008,30.6
12066,Q2-2025,7701,0.65,37.9
10870,Q1-2024,17584,0.2,3.8
12197,Q2-2022,35767,1.0,8.2
11847,Q4-2022,509,0.2,12.2
13453,Q3-2023,6390,0.74,9.3
11266,Q3-2023,18885,0.74,24.8
12086,Q3-2027,18330,0.0067,11.0
10987,Q1-2024,1335,1.0,17.1
12179,Q3-2025,4659,0.028,15.1
14416,Q2-2023,3720,1.09,11.1
10894,Q4-2023,8649,0.0008,4.1
13816,Q1-2023,219,1.27,15.1
13527,Q2-2027,49996,0.74,
12385,Q2-2023,13797,1.0,6.1
14243,Q4-2023,1566,1.0,15.5
14274,Q3-2024,3054,0.27,33.5
14130,Q1-2025,3450,0.032,31.1
14169,Q2-2022,430,0.74,16.1
14519,Q2-2024,8614,1.27,9.0
12041,Q4-2025,2483,0.0077,6.9
10701,Q4-2023,10970,0.74,7.5
13808,Q4-2023,3516,0.65,8.4
10094,Q2-2022,159,1.09,
13126,Q1-2027,45202,1.09,
10062,Q3-2023,190,0.74,18.0
11749,Q2-2024,2213,1.09,12.5
14275,Q2-2023,2468,0.27,7.6
13860,Q3-2024,10671,0.2,5.0
10286,Q4-2024,325,1.0,15.3
13781,Q3-2026,12096,0.27,4.4
11525,Q1-2024,6463,1.09,10.8
12092,Q3-2022,3147,0.22,18.8
11853,Q4-2022,726,0.012,20.4
11807,Q3-2024,24757,1.09,7.4
11919,Q4-2024,975,1.27,19.2
12034,Q4-2023,905,1.0,8.2
14546,Q3-2027,3172,1.27,1.3
11684,Q3-2024,1739,0.74,3.2
12085,Q3-2024,5406,0.054,9.0
12023,Q2-2024,5057,1.09,4.3
13328,Q3-2024,11226,0.044,17.4
13440,Q4-2024,6076,0.058,2.1
10387,Q3-2025,1264,1.0,9.9
11770,Q2-2024,2411,1.09,16.1
14835,Q1-2023,1981,0.0008,30.2
10927,Q3-2026,2694,0.74,16.8
12310,Q2-2025,629,1.09,16.9
11777,Q1-2024,14784,1.09,9.1
10977,Q2-2024,1110,0.0067,8.7
12567,Q3-2022,6054,1.0,5.9
12950,Q2-2024,364,0.0001,21.3
13622,Q1-2024,19753,0.27,11.9
10726,Q1-2024,6381,0.14,6.1
10599,Q2-2023,3031,0.22,34.7
13290,Q2-2023,6184,0.0003,26.0
10041,Q3-2023,2162,0.0011,14.1
10640,Q3-2024,23951,0.044,27.1
11415,Q1-2027,2683,1.09,12.5
12844,Q1-2024,1375,0.27,5.4
11442,Q1-2025,18285,0.018,12.5
10259,Q3-2025,5610,0.096,6.9
14022,Q3-2025,8551,0.0031,0.7
12720,Q2-2024,1886,0.096,11.0
13344,Q4-2022,7077,1.09,6.6
13180,Q2-2025,997,1.09,11.8
11754,Q2-2022,593,0.018,31.6
11985,Q4-2023,769,1.27,19.0
12569,Q2-2024,8083,0.018,8.0
13323,Q4-2025,6678,1.0,14.5
13072,Q4-2024,25419,1.09,23.0
11581,Q3-2024,7381,0.74,34.1
13310,Q2-2022,35581,0.128,9.9
10870,Q1-2024,9356,0.2,6.9
14184,Q1-2025,10343,0.0091,22.4
12274,Q2-2025,6793,0.0011,20.9
14801,Q2-2024,5820,1.0,13.3
14164,Q1-2024,439,0.27,10.7
13430,Q2-2024,575,0.27,31.2
12447,Q4-2025,76818,0.054,10.3
10615,Q3-2023,18932,0.27,14.5
14227,Q3-2024,1640,0.0031,12.2
12936,Q1-2023,4313,1.27,16.8
13844,Q2-2022,4453,0.27,1.3
10133,Q1-2024,756,0.2,10.0
14427,Q2-2024,36834,0.74,5.7
12337,Q1-2025,1210,0.032,13.0
11483,Q1-2023,2723,0.14,10.1
11111,Q2-2027,21604,1.0,15.9
11653,Q2-2023,10918,0.27,9.5
10510,Q1-2023,13075,0.27,7.9
14720,Q3-2025,10489,1.0,9.2
11238,Q4-2024,3482,0.27,11.8
14074,Q4-2025,41155,0.098,7.5
11293,Q2-2025,15961,0.018,17.6
11501,Q4-2024,1721,0.018,7.9
13078,Q3-2022,1434,0.0003,5.6
13762,Q4-2022,1415,1.0,17.1
10885,Q3-2024,28142,1.13,4.2
12104,Q4-2023,6632,1.0,29.4
13935,Q2-2023,1697,0.65,17.9
11200,Q1-2023,2291,0.0036,3.4
14344,Q2-2025,33571,0.2,9.3
13932,Q4-2024,9818,1.27,10.2
10066,Q1-2025,7189,0.147,18.0
12980,Q1-2025,896,1.09,33.9
12479,Q3-2023,3166,0.096,32.3
11559,Q4-2024,420,0.14,
11431,Q1-2024,2015,1.09,23.7
12188,Q4-2022,2189,1.09,3.4
10296,Q3-2023,22516,0.27,22.5
12846,Q3-2022,3960,1.27,11.7
13049,Q3-2022,1048,1.09,15.7
11015,Q2-2022,1149,1.0,21.2
11948,Q3-2023,9735,0.012,19.4
11346,Q3-2024,3769,0.054,10.8
11492,Q2-2023,3648,0.27,24.7
11383,Q3-2024,313,0.0077,20.1
11264,Q2-2022,9110,0.012,22.6
13787,Q1-2024,11720,0.27,25.8
10139,Q3-2024,2531,0.0011,6.4
10678,Q3-2024,15754,0.27,16.0
14249,Q3-2024,8324,0.27,9.6
12454,Q4-2023,17223,0.27,5.6
14643,Q4-2022,415,0.0001,10.2
11148,Q2-2023,1396,1.09,20.0
13286,Q4-2023,14269,0.74,
12380,Q4-2023,3402,1.09,17.8
12581,Q2-2022,8357,0.0011,11.4
13624,Q2-2023,13235,0.012,19.3
12281,Q3-2023,84,0.012,17.2
13921,Q3-2023,3700,1.09,10.1
11741,Q1-2026,27905,0.27,0.0
14889,Q2-2025,351,1.0,24.1
14072,Q2-2024,5246,1.09,13.7
13502,Q3-2023,8996,0.65,4.5
14050,Q4-2023,12040,1.09,6.1
11010,Q2-2024,1356,0.0008,
11045,Q4-2023,3064,1.09,14.6
13972,Q2-2023,43765,1.09,3.5
14610,Q2-2022,2785,1.09,38.5
10541,Q1-2024,20268,0.61,24.3
13713,Q3-2024,917,0.65,18.5
10082,Q4-2023,2879,0.27,23.5
14310,Q1-2024,951,0.032,6.4
11433,Q4-2023,2192,1.0,0.0
12490,Q3-2023,12205,1.0,13.6
14191,Q2-2023,13509,1.09,3.5
10130,Q3-2022,766,0.032,18.1
11596,Q3-2024,4271,1.09,5.4
14646,Q1-2023,18093,0.25,11.0
13017,Q2-2025,6770,0.0067,19.3
10509,Q4-2023,4755,0.65,15.3
12366,Q2-2024,451,1.0,7.8
14425,Q1-2023,779,0.27,10.3
11870,Q4-2024,1942,0.044,41.4
13857,Q1-2022,1997,0.14,15.4
11340,Q3-2023,3416,0.012,
13929,Q2-2023,9506,1.09,2.0
14703,Q2-2023,58,0.032,7.0
14213,Q4-2022,1484,0.74,21.9
13481,Q2-2022,947,1.0,23.3
14312,Q4-2022,4780,1.09,9.5
10296,Q4-2024,22307,0.27,23.2
12867,Q3-2023,4139,1.0,19.8
12384,Q4-2025,28636,1.0,8.5
13302,Q4-2023,1491,1.09,17.3
12256,Q2-2023,1335,1.0,19.7
13686,Q1-2024,66884,1.0,1.1
11797,Q3-2025,1139,0.0067,15.0
11945,Q3-2022,4912,1.09,26.1
14075,Q4-2022,4920,0.0067,1.7
10994,Q1-2026,25962,0.018,
10929,Q3-2023,15277,0.14,10.3
14650,Q1-2025,12816,1.09,10.4
14482,Q1-2022,5793,1.09,1.9
14571,Q2-2023,3682,1.0,15.3
13143,Q3-2022,9497,1.27,30.7
14921,Q2-2023,11030,0.2,17.7
13917,Q1-2024,604,1.09,25.3
11029,Q4-2024,13693,0.028,
10793,Q2-2023,61,0.74,10.3
12361,Q3-2022,28248,1.09,15.0
13443,Q3-2025,41720,1.09,9.4
13013,Q3-2023,28013,0.098,10.3
12482,Q1-2022,16845,0.018,10.4
13078,Q2-2022,4112,0.0003,13.0
13270,Q3-2026,6197,1.09,12.8
12553,Q1-2025,3071,1.27,10.9
10620,Q1-2022,4654,1.0,2.4
12060,Q2-2026,350,1.09,15.8
14935,Q4-2023,6200,0.14,14.3
10758,Q1-2024,32128,1.13,11.5
10506,Q2-2025,13042,1.09,9.7
10524,Q1-2024,12055,0.098,5.0
10341,Q3-2026,24957,1.09,2.1
14894,Q2-2024,12024,0.0001,6.1
14092,Q3-2022,7200,1.09,8.5
14853,Q3-2024,1273,1.09,40.6
14292,Q3-2024,3215,0.14,0.0
13040,Q2-2024,9611,0.74,0.0
12266,Q1-2027,9392,1.0,8.0
10296,Q3-2022,3234,0.27,23.0
12939,Q1-2023,4748,0.2,14.4
11135,Q4-2022,1329,1.09,21.4
14774,Q2-2023,231,1.09,21.8
12264,Q2-2025,4977,1.0,8.9
10668,Q2-2023,6062,0.0001,12.9
14997,Q4-2025,4646,1.27,5.9
11151,Q4-2023,15350,0.65,7.0
11384,Q4-2022,12494,0.0067,23.5
13604,Q3-2024,32140,0.0036,
14509,Q2-2024,19129,0.012,6.9
13598,Q3-2023,2176,0.032,25.7
12244,Q2-2022,7727,0.74,10.4
13045,Q4-2023,1528,0.028,10.7
12244,Q1-2026,3516,0.74,16.8
14545,Q2-2023,4194,0.27,13.3
10038,Q3-2024,745,0.2,18.2
12550,Q1-2024,9120,1.0,3.1
12817,Q1-2026,9520,1.09,0.0
11564,Q2-2024,1109,0.22,11.9
11568,Q1-2026,5646,0.25,6.8
14365,Q3-2022,2839,0.0067,4.1
13144,Q1-2027,30503,1.09,9.1
12914,Q3-2024,2131,0.14,9.8
12427,Q1-2024,17234,0.0036,6.8
12655,Q2-2022,4032,0.2,
13602,Q1-2022,8612,1.0,6.3
12388,Q3-2025,8149,1.0,3.0
13954,Q3-2023,2706,0.128,9.5
13395,Q4-2025,3957,1.0,6.5
14178,Q3-2024,28279,1.13,14.0
12006,Q2-2024,24482,1.09,21.5
14085,Q1-2023,5992,1.0,25.0
12594,Q4-2023,33524,0.74,9.7
11942,Q1-2025,2169,1.13,19.8
11109,Q4-2025,9058,1.09,21.5
13876,Q1-2025,4297,1.27,
12035,Q4-2022,19565,0.74,1.2
12409,Q2-2023,427,0.27,15.1
14796,Q1-2023,31209,0.27,13.0
14450,Q2-2025,12027,1.09,5.0
13009,Q4-2024,71656,0.0008,9.1
10698,Q3-2023,2771,0.0001,16.9
14996,Q2-2026,2602,1.09,0.0
10369,Q1-2025,757,0.74,20.8
11452,Q4-2024,4173,1.27,8.4
13586,Q1-2023,6287,1.09,24.7
13869,Q3-2024,1140,1.09,8.6
11956,Q2-2024,4093,1.09,31.3
10103,Q2-2025,17984,1.0,0.0
12877,Q3-2022,26663,0.032,12.1
10234,Q1-2024,33973,1.09,8.1
11419,Q2-2022,6018,0.14,12.8
14891,Q3-2025,3221,0.22,7.1
13608,Q3-2024,35103,0.0067,3.6
14434,Q1-2024,6430,1.09,12.1
14588,Q2-2023,2531,1.09,17.8
12814,Q4-2025,26594,0.0003,7.0
12267,Q4-2024,6270,1.27,12.2
10077,Q1-2026,6727,1.13,6.1
10848,Q2-2022,4334,0.2,12.2
14825,Q3-2024,5159,1.09,15.4
14802,Q2-2023,12235,0.27,12.4
10716,Q2-2022,7394,0.2,10.5
14443,Q4-2024,1735,0.012,22.0
13867,Q3-2025,6213,1.0,15.0
11046,Q4-2023,247,1.09,26.9
11859,Q1-2025,3242,0.2,0.7
11676,Q4-2023,10398,0.74,26.5
13849,Q2-2022,15439,0.65,10.3
14744,Q4-2026,2239,0.032,8.9
14075,Q4-2025,5613,0.0067,2.3
11990,Q1-2024,21910,1.0,11.0
13606,Q2-2024,27008,1.09,7.0
13470,Q3-2024,14535,1.09,18.2
11589,Q1-2025,3742,0.14,0.0
13131,Q3-2023,3049,0.0006,20.1
10939,Q1-2024,6367,0.0006,15.8
11141,Q2-2023,4389,0.058,22.9
14359,Q2-2024,120,0.27,26.1
14617,Q4-2024,5762,1.0,1.5
11143,Q4-2024,4011,1.0,29.4
14540,Q3-2022,683,1.0,14.8
13003,Q3-2024,11261,1.27,2.2
12670,Q4-2022,1404,0.147,32.2
10269,Q1-2022,1386,0.018,17.1
12487,Q4-2022,5411,0.27,17.2
13915,Q3-2023,6620,0.096,
13285,Q4-2022,3125,1.0,4.2
11501,Q4-2024,6469,0.018,12.6
11434,Q4-2024,2459,0.018,0.9
11312,Q2-2026,1101,0.0008,18.6
13206,Q3-2022,5944,1.09,8.3
14805,Q2-2025,13400,0.2,29.1
10253,Q4-2023,2896,0.0011,17.8
12629,Q2-2025,10186,1.0,7.9
10154,Q3-2025,3202,0.2,23.1
10624,Q3-2022,2688,0.27,24.0
12890,Q3-2022,4762,0.0077,4.0
14449,Q2-2024,6238,0.0003,9.4
12597,Q3-2024,54929,1.27,0.0
12179,Q2-2024,12015,0.028,15.7
12599,Q1-2026,11085,1.09,10.5
14472,Q1-2023,36675,1.0,8.9
12036,Q4-2025,555,0.27,6.9
14102,Q2-2023,679,0.095,14.2
12916,Q1-2024,4580,0.0091,5.8
10644,Q1-2022,5889,1.09,12.5
11669,Q2-2025,84803,0.2,3.8
14570,Q3-2023,10414,0.054,9.9
12020,Q1-2025,353,1.09,6.1
10943,Q1-2023,32455,0.74,0.7
13928,Q3-2023,24202,0.61,27.7
11416,Q2-2024,474,0.74,7.5
12432,Q2-2023,36211,0.032,18.3
12211,Q1-2023,3449,0.147,16.8
14462,Q1-2025,1384,1.0,13.8
12385,Q3-2025,2326,1.0,5.5
13750,Q3-2023,2413,1.09,2.4
13394,Q4-2024,9445,0.012,7.0
14219,Q4-2024,16085,0.65,16.6
14478,Q4-2025,1885,0.0067,3.5
13660,Q4-2022,7177,0.096,1.6
12162,Q3-2024,69758,1.09,14.0
12307,Q4-2024,1481,1.0,12.1
11762,Q2-2022,6490,0.27,4.3
14289,Q4-2024,34121,1.09,16.9
13271,Q3-2022,3842,1.13,20.7
12004,Q3-2024,3609,1.09,13.5
10452,Q2-2023,17516,0.22,31.0
14965,Q2-2022,47669,1.0,7.1
13254,Q3-2023,1158,0.74,18.5
10385,Q1-2024,157,0.0011,13.9
11629,Q4-2024,25737,0.2,5.4
12323,Q3-2026,2424,1.09,
11928,Q2-2024,19946,0.018,7.7
13237,Q3-2024,27186,0.028,25.7
10903,Q2-2023,9197,0.74,1.3
11318,Q3-2023,15798,0.012,4.3
11357,Q4-2022,347,1.09,10.7
13041,Q1-2024,2532,0.058,31.6
12428,Q2-2023,1756,0.74,7.3
13038,Q2-2023,2210,1.13,8.0
12790,Q3-2023,2295,0.0011,19.5
10825,Q1-2023,15567,1.09,29.1
11123,Q2-2025,7336,0.012,22.4
12617,Q4-2025,19377,1.27,11.1
11922,Q4-2025,8263,0.65,22.3
13375,Q1-2025,3439,0.054,9.7
10028,Q2-2022,3063,1.09,3.3
13555,Q2-2023,4272,0.65,8.8
14971,Q4-2022,16420,0.012,6.9
13387,Q2-2024,4507,0.032,19.1
11976,Q3-2024,7045,1.0,6.0
13291,Q2-2024,1917,0.0067,5.8
14526,Q4-2023,6398,0.22,9.9
12916,Q4-2027,6373,0.0091,3.3
