customer_id,last_invoice_amount_usd,lifetime_revenue_usd,add_on_revenue_usd,next_quarter_revenue_usd,acv_local,acv_usd,subscription_value_local,daily_active_users,feature_adoption_pct,sessions_per_user_day,avg_session_minutes,integrations_count,custom_reports_count,automations_active,api_calls_monthly,mobile_users_pct,support_tickets,csat_score,nps_score,renewal_probability,price_sensitivity,renewal_risk_flag,churn
10472,3158,13725,138,2111,11123,11123,13434,21,16.0,0.5,8.0,1,3,1,4603,40.0,16,3.5,-29.0,0.58,Medium,Low,0
11262,1370,15941,9,96,6717,4970,9029,13,46.8,2.2,11.0,2,3,3,6038,10.7,14,3.3,9.0,0.47,High,Medium,1
13810,577,527,470,655,16568,2319,17873,73,66.2,3.3,9.0,3,6,15,33029,33.3,6,4.3,70.0,0.95,Low,Low,0
13883,416,574,1517,506,29465,1591,34995,58,59.9,4.1,13.0,4,13,17,32604,33.2,6,3.4,36.0,0.71,High,Low,0
12347,9455,72907,211,10191,35238,38409,51071,48,48.8,1.8,23.0,4,1,5,11109,52.5,3,4.0,37.0,0.76,Low,Low,0
12003,1733,27096,86,1905,27261,7360,35776,66,31.3,2.5,16.0,3,7,6,13328,48.4,6,4.0,0.0,0.8,High,Low,0
14344,4410,73097,809,5142,84596,16919,93892,128,59.8,4.5,27.0,13,15,25,49919,62.0,5,3.7,33.0,0.96,High,Low,0
14010,7772,23269,332,8953,27715,27715,34301,78,91.6,3.3,21.0,5,10,14,24804,53.2,4,3.8,45.0,0.87,Low,Low,0
14897,10,110,964,12,64815,42,67657,152,54.9,4.9,25.0,8,15,23,74729,11.4,2,3.7,24.0,0.94,Medium,Low,0
11050,4780,151215,1353,5878,89387,22346,99099,148,90.1,4.9,22.0,6,10,16,68450,66.4,2,3.6,51.0,0.89,Low,Low,0
10747,198,1304,337,11,13763,798,16098,52,7.2,3.6,14.0,2,0,2,4301,47.0,16,2.8,40.0,0.33,High,Medium,1
10487,421,8397,96,252,10680,1495,12761,28,58.4,0.5,12.0,4,3,2,6429,47.2,13,2.3,-35.0,0.64,High,Medium,0
14551,408,4611,753,329,72101,1297,77032,142,64.0,5.0,33.0,10,9,17,75308,22.3,3,5.0,20.0,0.99,Low,Low,0
14580,20232,529328,3876,22941,87895,87895,89598,139,40.7,4.3,25.0,14,24,16,26685,44.7,2,4.0,69.0,0.99,Low,Low,0
10849,16412,415685,67,19215,70308,70308,78645,143,100.0,4.5,26.0,11,15,17,28882,46.5,4,4.1,39.0,0.71,Low,Low,0
13046,998,11032,151,930,20727,4145,31597,89,45.5,2.4,21.0,1,5,9,15456,18.4,8,3.4,22.0,0.73,Medium,Low,0
14168,4180,34097,485,3014,17640,17640,22162,8,17.3,1.1,2.0,0,3,1,6931,31.5,5,3.6,-27.0,0.51,High,Low,0
11021,62,843,629,70,28935,263,39368,61,51.8,2.4,15.0,3,4,11,8977,46.2,7,4.4,-1.0,0.75,High,Low,0
14889,1688,19348,53,1377,6781,6781,8498,17,46.3,1.5,17.0,2,2,2,2196,42.1,16,3.9,7.0,0.41,Medium,High,0
12226,6285,149469,361,10830,29428,29428,33982,157,86.5,5.8,29.0,6,20,24,23152,33.5,1,4.2,75.0,0.99,Medium,Low,0
10531,8827,72322,685,14715,34236,37317,41905,97,68.4,2.6,19.0,3,12,8,37247,35.1,5,3.8,61.0,0.72,Low,Low,0
10066,1118,909,682,1253,26783,3937,34874,97,50.9,2.4,18.0,10,3,17,11342,59.7,4,4.6,23.0,0.89,High,Low,0
14854,18877,432647,2151,22529,107282,79388,107282,140,100.0,5.4,28.0,7,12,15,24398,21.4,2,4.9,62.0,0.9,Low,Low,0
12427,39,522,105,42,43587,156,46271,145,64.2,3.1,24.0,11,14,15,67194,1.0,1,4.4,54.0,0.99,Low,Low,0
10411,3145,15516,422,3694,42093,11365,49232,69,37.4,3.3,19.0,4,8,10,35092,54.6,5,4.5,56.0,0.76,Low,Low,0
14747,922,6650,47,998,15639,4222,18059,1,44.2,2.0,16.0,2,2,5,7167,43.2,9,4.4,-2.0,0.55,High,Low,0
10682,19234,326555,2225,27249,83178,90664,83765,156,62.2,3.9,31.0,17,14,19,63551,27.4,1,4.5,60.0,0.89,Medium,Low,0
12032,2,26,64,2,10646,11,14645,31,36.1,2.4,6.0,2,4,2,4924,26.5,14,4.1,-30.0,0.49,Medium,Medium,0
13972,12558,216556,720,16450,50363,54895,52681,143,73.3,4.7,28.0,5,20,13,15505,51.2,4,4.3,25.0,0.99,Low,Low,0
11407,4796,32807,609,4974,33285,20303,41144,68,73.6,2.6,10.0,6,7,10,12892,44.4,4,3.0,40.0,0.71,Low,Low,0
10834,6,19,536,6,35016,22,40481,72,48.5,1.9,12.0,3,8,14,37154,27.0,4,3.5,,0.67,Low,Low,0
10627,105,515,208,123,31037,372,35110,82,60.9,4.2,32.0,3,7,9,21322,28.5,8,4.1,-2.0,0.8,Medium,Low,0
13438,3211,10775,274,3089,21022,13664,23916,1,33.2,3.4,8.0,1,1,3,4505,34.0,6,2.4,1.0,0.48,High,Low,0
12064,21525,375636,4128,26031,90399,90399,97308,158,93.5,4.2,29.0,7,18,23,60375,40.4,3,5.0,75.0,0.81,Medium,Low,0
13520,12302,123363,220,14473,42303,42303,48681,45,49.9,4.1,22.0,5,9,16,35687,31.1,8,4.0,80.0,0.71,Medium,Low,0
10438,712,1381,58,514,16084,3216,19171,13,30.4,0.9,3.0,1,4,7,3593,29.2,7,2.8,5.0,0.49,Medium,Low,0
13045,204,1317,1647,187,21999,615,24390,79,37.6,3.0,18.0,3,6,15,29320,54.1,6,4.2,20.0,0.49,Medium,Low,0
12575,3841,3385,56,2259,13725,13725,17287,64,33.6,1.8,2.0,1,0,2,6909,32.0,11,2.5,-64.0,0.59,Medium,Low,0
10978,2805,44369,187,2958,12418,13535,15350,24,37.0,0.9,5.0,1,1,5,4963,26.8,15,2.9,-9.0,0.56,High,Medium,0
11627,187,2878,204,151,13216,713,15622,42,22.1,1.0,2.0,4,2,3,6094,42.0,12,2.3,-66.0,0.55,Low,High,0
11967,10149,9110,533,12718,35556,38756,41489,72,59.9,1.8,19.0,7,7,13,26148,23.4,3,3.6,0.0,0.84,High,Low,0
11323,2935,29529,600,3199,84565,11839,93134,161,82.7,2.4,26.0,6,15,24,72537,45.2,4,4.3,32.0,0.99,Low,Low,0
10241,4437,48785,456,5020,25647,18978,35721,89,53.7,3.0,21.0,5,4,7,13876,19.6,3,3.6,44.0,0.81,High,Low,0
10423,8443,198233,4371,7833,46551,30258,53508,161,78.5,2.8,22.0,10,17,16,70620,40.3,1,4.2,37.0,0.86,Low,Low,0
11488,18,76,120,2,9810,75,11098,34,39.9,1.4,4.0,2,3,2,5892,43.2,13,2.8,-4.0,0.33,Medium,High,1
10024,204,2438,41,193,15088,814,18814,48,28.9,2.3,11.0,7,10,4,12041,15.6,2,3.6,51.0,0.76,High,Low,0
12965,10175,181039,3803,9678,51668,38234,58120,135,71.0,4.1,27.0,4,10,16,49356,71.9,3,4.5,51.0,0.85,Medium,Low,0
10034,332,291,77,14,12657,1202,18864,26,52.7,1.5,3.0,5,5,2,2759,10.7,15,3.1,0.0,0.49,Medium,Low,1
14303,1,19,138,1,22191,5,33675,79,62.7,2.3,20.0,3,8,6,8398,19.9,9,3.6,9.0,0.64,Low,Low,0
11422,3404,32238,151,410,13974,15231,17916,25,42.9,1.0,11.0,3,3,5,7142,39.2,13,3.7,,0.54,Medium,Low,1
13096,12,270,651,12,68444,51,74885,130,68.6,4.9,31.0,8,21,30,34264,48.0,4,5.0,79.0,0.86,Low,Low,0
12887,25809,668016,471,31263,82369,104608,88096,142,79.0,3.6,23.0,11,10,24,44023,27.1,4,4.0,47.0,0.8,Medium,Low,0
14679,24241,404943,3399,33459,103014,112285,103014,145,86.1,2.6,22.0,7,14,11,52363,34.8,4,5.0,36.0,0.99,Low,Low,0
14703,48,422,496,39,6669,213,7728,39,50.9,0.5,8.0,3,5,5,4042,6.0,13,2.5,-36.0,0.47,High,Low,0
12562,8699,74142,1329,12324,31836,40431,38219,76,46.1,2.8,12.0,5,6,12,19166,46.5,11,2.9,,0.83,Low,Low,0
12648,8602,6641,643,9492,27750,30247,31787,88,37.5,3.0,12.0,4,6,16,30343,47.5,6,4.3,22.0,0.83,Medium,Low,0
11011,24,318,519,29,14138,94,14946,97,61.3,3.6,19.0,4,8,13,13957,71.0,6,3.6,47.0,0.82,High,Low,0
14598,23857,480573,1397,32814,99962,108958,99962,162,80.1,4.8,27.0,10,17,22,57387,21.7,3,5.0,,0.91,Low,Low,0
11635,5619,83587,366,5076,30345,19724,43600,79,44.4,4.2,16.0,5,10,9,14483,27.4,8,2.7,,0.74,High,Low,0
10080,117,1660,469,174,43740,524,47961,61,68.1,4.1,25.0,8,8,12,16488,47.7,9,4.0,34.0,0.84,Low,Low,0
13916,1120,6037,134,803,15019,4055,19946,3,37.0,0.7,9.0,2,0,2,5216,50.9,10,3.4,-30.0,0.35,Low,Low,0
13870,95,784,1121,65,11264,360,13721,41,33.2,0.5,16.0,0,3,6,6065,32.8,14,3.0,-12.0,0.34,High,Medium,0
10255,96,1854,2797,115,57100,382,57215,163,93.2,2.8,25.0,12,9,21,42409,58.0,5,4.1,46.0,0.99,High,Low,0
11593,1125,5164,850,1044,43381,4164,62420,1,17.7,1.8,9.0,6,7,9,8726,22.4,7,3.1,7.0,0.78,Medium,Low,0
11535,16069,368369,80,19341,66927,72950,77823,141,86.4,3.5,25.0,9,13,20,38928,52.5,4,4.4,55.0,0.98,Low,Low,0
13607,3287,55509,290,3422,68831,13766,74012,168,80.2,3.0,20.0,15,14,17,39365,14.8,1,4.5,87.0,0.99,Low,Low,0
10291,3768,52514,361,3897,13797,15038,19939,66,50.5,2.4,15.0,9,8,7,14639,36.4,5,3.0,6.0,0.65,Medium,Low,0
10932,0,4,178,0,7171,1,9277,32,41.2,0.9,10.0,1,1,2,1985,27.2,13,3.2,7.0,0.38,High,Low,0
10228,10491,40743,3105,11211,39342,39342,40145,85,57.7,4.0,22.0,5,8,10,20681,27.0,3,5.0,37.0,0.72,High,Low,0
12228,23807,474762,597,29600,75162,95455,84074,151,85.6,2.3,29.0,8,15,23,42485,30.3,4,4.4,65.0,0.99,Medium,Low,0
11341,2941,33948,2749,3507,79375,11112,84894,157,57.6,3.8,24.0,6,10,19,40764,36.9,2,,78.0,0.99,Medium,Low,0
13951,4472,31788,221,3617,15976,20289,20509,19,53.0,3.4,13.0,2,2,4,5910,15.1,12,2.3,-21.0,0.42,Medium,Low,0
11554,3222,33187,73,72,13679,13679,17164,39,32.9,1.9,6.0,3,0,1,3890,25.7,9,2.9,13.0,0.55,Medium,High,1
10927,8361,203408,1996,8904,48021,35535,56562,122,70.7,4.2,29.0,8,13,19,65636,57.9,4,3.8,59.0,0.9,Medium,Low,0
14106,267,4687,2786,302,83348,1000,93440,117,75.0,5.5,23.0,8,9,14,68674,14.0,1,4.7,68.0,0.99,Low,Low,0
11701,9,33,371,8,32691,35,45154,62,44.3,1.2,22.0,2,8,14,16279,59.1,3,4.4,14.0,0.75,Low,Low,0
13878,87,1522,11,119,36395,436,51772,93,36.6,1.4,18.0,3,6,4,4976,40.5,5,3.7,31.0,0.9,Low,Low,0
10352,150,3351,108,180,86124,577,89341,144,70.9,3.8,21.0,4,19,20,61174,41.7,2,4.2,33.0,0.86,Low,Low,0
12457,119,165,22,108,32779,393,38609,88,79.4,2.5,16.0,5,8,11,26964,35.6,2,3.8,51.0,0.67,Low,Low,0
14605,521,486,873,616,34399,1995,38010,96,48.2,4.2,22.0,7,6,13,28000,43.8,7,,34.0,0.65,Low,Low,0
14506,844,2567,464,536,13375,3611,18099,50,28.3,1.4,5.0,0,5,0,6749,9.9,14,3.9,-12.0,0.63,High,Medium,0
13410,193,4441,1144,229,64266,771,73113,153,71.0,3.2,25.0,7,9,17,74890,54.6,3,4.3,82.0,0.89,Low,Low,0
14487,250,295,568,364,35088,1122,42326,81,52.6,3.1,17.0,5,7,14,34425,33.9,3,3.6,7.0,0.74,Low,Low,0
10394,10548,45961,514,15087,40296,43922,50058,69,50.1,2.6,20.0,4,9,10,24335,41.8,4,4.8,62.0,0.58,Medium,Low,0
10832,5915,47502,190,10283,24165,30689,26410,91,84.0,2.4,27.0,4,11,7,30739,20.9,4,4.8,36.0,0.79,Medium,Low,0
14009,207,5145,5189,276,82630,991,94868,160,86.6,4.7,19.0,7,18,24,54687,16.7,3,4.4,51.0,0.98,Low,Low,0
13459,12,364,2377,16,91594,59,105524,148,45.6,2.7,25.0,8,17,25,42282,52.7,2,4.3,52.0,0.99,Medium,Low,0
13293,7202,8631,289,8991,25358,27640,30010,88,72.5,2.7,11.0,6,6,12,26587,65.3,5,4.5,48.0,0.78,Low,Low,0
13127,3253,33010,86,2130,11299,12315,13063,36,46.4,1.1,12.0,1,1,3,7002,36.9,15,3.1,-19.0,0.34,High,Low,0
14351,11975,264306,39,13575,70079,45551,70079,140,49.8,4.9,27.0,7,13,24,57131,30.7,4,4.7,47.0,0.99,Low,Low,0
11159,2658,15085,73,37,10383,10383,13789,46,38.0,1.6,2.0,3,1,2,6143,22.3,21,3.5,-27.0,0.3,High,Medium,1
14519,8605,15295,971,12609,28295,35934,31162,72,78.1,4.1,21.0,9,7,11,22720,18.9,2,4.4,26.0,0.89,Medium,Low,0
11033,3931,34042,185,2533,14510,14510,16564,17,64.0,2.0,6.0,0,2,2,4994,79.1,8,2.3,0.0,0.33,High,Low,0
10725,16748,261831,196,17064,89296,58042,90107,176,81.5,5.3,19.0,10,14,16,38312,48.2,0,4.1,100.0,0.99,Medium,Low,0
10469,1430,49759,2028,2042,75742,7195,79146,191,66.0,3.3,25.0,8,10,12,41951,28.6,3,5.0,66.0,0.9,Low,Low,0
10804,311,2882,402,404,30183,1328,36235,68,75.0,2.6,18.0,4,7,8,39125,22.0,4,3.7,25.0,0.69,Low,Low,0
13753,2310,21178,106,2006,14689,9547,18113,27,18.5,2.0,13.0,4,1,7,6957,22.4,13,3.3,-14.0,0.3,High,Low,0
13131,1,24,196,1,12177,7,15071,25,9.4,0.8,10.0,1,0,2,3001,34.0,5,3.0,-6.0,0.51,High,Low,0
12188,3238,3803,2525,4781,14132,15403,14752,97,51.7,2.3,19.0,4,9,10,28220,25.7,3,4.2,28.0,0.66,Medium,Low,0
13749,3219,22858,129,2144,15932,10355,20245,34,5.0,1.0,5.0,1,4,2,5806,32.9,9,2.9,19.0,0.51,High,Medium,0
12446,5,5,369,5,31648,20,32261,73,63.2,2.5,22.0,6,10,14,37762,34.8,8,4.5,32.0,0.95,Low,Low,0
12458,8094,201145,230,7187,40600,26390,46137,172,81.8,4.2,22.0,11,19,22,52575,44.1,4,4.1,54.0,0.98,High,Low,0
12925,15,185,205,18,72219,54,73995,127,76.7,5.3,19.0,6,11,18,49415,45.8,3,4.8,80.0,0.91,Low,Low,0
13533,650,6131,329,398,12643,2528,17178,26,42.1,1.9,8.0,0,2,7,5872,40.0,15,2.8,-31.0,0.4,Medium,Low,0
14221,673,11135,528,730,81330,2602,91588,178,100.0,5.2,23.0,6,7,9,71798,26.7,5,3.6,63.0,0.95,Medium,Low,0
13236,14721,325777,276,17882,65202,65202,76709,156,63.1,2.4,20.0,11,5,18,48248,41.6,4,3.8,39.0,0.92,Low,Low,0
13693,18373,348321,1632,18687,65014,65014,82401,146,74.5,2.5,16.0,11,10,24,43914,40.7,3,3.6,24.0,0.99,Low,Low,0
14920,0,0,521,0,12415,0,14538,42,28.3,0.8,4.0,4,1,1,6862,15.6,18,2.6,5.0,0.58,Medium,High,1
13457,1587,12657,280,1976,40457,8900,52748,57,37.6,3.7,19.0,2,5,12,10382,26.1,8,4.0,-7.0,0.74,High,Low,0
12877,794,12128,2585,710,86265,2760,100309,164,89.5,4.2,31.0,6,15,14,29199,39.1,3,3.9,100.0,0.95,High,Low,0
13896,7408,19218,202,7483,27241,27241,31603,54,80.6,1.4,10.0,5,6,12,19288,48.7,2,4.1,36.0,0.79,Medium,Low,0
14275,5998,136310,602,7667,87861,23722,94781,121,63.7,4.8,28.0,5,11,21,47733,46.7,1,4.9,52.0,0.9,Low,Low,0
10085,741,16030,651,860,93054,2605,103855,118,93.6,4.5,28.0,13,18,26,48017,33.1,5,4.5,39.0,0.87,Medium,Low,0
11584,750,11736,1372,931,55342,3209,62393,103,78.5,5.1,32.0,8,17,26,53782,12.9,4,5.0,80.0,0.99,Low,Low,0
10801,8208,40571,166,11719,32403,35319,35647,56,71.8,3.3,19.0,4,10,13,28873,25.0,7,3.7,,0.76,Medium,Low,0
14464,7279,66815,273,8397,37948,28081,53599,98,58.3,3.4,11.0,4,6,7,15962,39.0,3,2.9,28.0,0.57,Medium,Low,0
14567,1,8,978,0,27883,6,29695,62,39.5,2.7,17.0,4,10,15,16201,21.7,8,5.0,16.0,0.63,Low,Low,1
11426,3024,32088,13,2817,12288,12288,14734,3,28.9,2.0,2.0,1,0,3,5376,46.0,10,2.2,-34.0,0.37,Medium,Low,0
12883,2539,6450,46,2075,8420,9177,10170,1,27.3,0.9,10.0,1,1,2,3273,0.0,14,2.9,-17.0,0.34,High,Low,0
10107,1232,15605,15,938,6927,5125,9771,16,24.8,1.1,19.0,4,4,0,7035,36.7,7,3.2,,0.33,Medium,Low,0
14161,3389,25880,84,496,13177,14362,15838,41,14.3,2.6,7.0,4,1,2,5416,23.5,16,3.2,17.0,0.39,High,Low,1
11455,881,13288,333,507,13109,3539,16125,20,14.3,1.4,5.0,2,2,1,3657,30.8,14,2.1,-18.0,0.28,High,Medium,0
11282,242,4271,326,169,3999,1079,5706,18,32.4,1.2,9.0,3,3,2,3663,31.5,10,3.1,-33.0,0.47,High,Medium,0
14814,11020,182201,853,10530,44321,44321,62075,10,44.0,2.6,13.0,6,5,6,12726,52.5,9,3.8,-5.0,0.75,High,Low,0
10765,6746,73654,490,8092,29012,31623,43759,68,40.8,1.7,20.0,2,8,8,12513,54.7,8,4.2,-1.0,0.61,High,Low,0
13318,2132,28376,2343,26,59729,8362,67874,188,71.9,3.5,34.0,10,13,17,64064,52.6,7,4.8,64.0,0.89,Medium,Low,1
11539,1107,7110,225,964,16174,4043,25154,81,53.7,3.0,18.0,6,5,11,12576,7.1,5,3.8,,0.6,Medium,Low,0
12330,309,2052,318,279,12762,1225,14720,4,37.6,2.6,12.0,0,2,2,5263,50.2,10,2.3,-11.0,0.54,Medium,Low,0
10009,213,4160,1774,216,59913,718,66423,170,71.0,4.6,20.0,9,12,28,59436,33.0,3,4.3,82.0,0.88,Low,Low,0
10788,1759,21904,350,1514,11372,8415,15143,53,47.6,0.5,12.0,2,0,3,5338,34.6,9,,0.0,0.56,High,Low,0
11380,3940,25789,195,260,13843,15088,16286,30,11.7,3.2,7.0,2,3,5,5212,30.5,12,2.4,-2.0,0.62,Low,High,1
14733,6,80,110,0,7758,24,9614,1,6.5,1.0,7.0,3,4,6,5234,23.1,14,3.0,-21.0,0.47,Low,High,1
13290,0,4,696,0,13917,3,17820,44,13.8,2.3,14.0,1,2,7,5759,46.8,12,3.9,1.0,0.53,High,Medium,0
10590,4067,40973,462,5169,59787,16142,69279,122,40.6,3.2,13.0,13,18,20,62413,30.8,4,4.9,76.0,0.98,Medium,Low,0
12744,148,717,227,167,31307,563,37902,81,71.5,2.3,20.0,5,12,13,24255,13.7,4,3.8,26.0,0.78,Low,Low,0
13012,91,1087,1337,107,32648,391,43706,36,45.2,3.4,26.0,4,9,8,10367,41.1,6,3.8,15.0,0.62,Low,Low,0
11892,12511,11455,710,14787,42137,45929,45752,67,31.6,2.0,19.0,4,5,11,38206,36.8,3,4.2,50.0,0.76,Medium,Low,0
11758,724,10263,36,780,20896,2925,30153,40,64.2,1.2,10.0,4,7,0,6344,22.3,3,3.8,-7.0,0.76,Medium,Low,0
10158,1555,22637,789,1997,24171,6526,29841,57,44.9,3.0,16.0,4,8,9,26485,47.0,4,4.1,26.0,0.86,High,Low,0
13352,2840,41844,4764,3248,81958,11474,93667,156,71.1,2.9,23.0,7,21,17,57019,24.6,3,4.3,62.0,0.99,Medium,Low,0
10719,5793,10004,32,7929,24252,24252,31579,69,37.1,2.8,26.0,6,4,9,34390,37.6,2,3.2,27.0,0.77,Medium,Low,0
10965,112,2344,441,97,31999,383,44444,65,43.0,1.3,14.0,3,5,8,12195,33.4,6,5.0,45.0,0.74,High,Low,0
14012,400,10199,461,400,117112,1405,121612,123,77.8,2.9,26.0,6,17,18,75236,60.0,2,3.9,54.0,0.8,Low,Low,0
10180,8276,59831,3117,12925,37225,40575,41224,72,40.6,2.5,16.0,6,5,10,32140,55.2,2,3.6,38.0,0.78,Low,Low,0
13269,107,774,382,104,33226,398,46732,53,70.4,0.5,20.0,4,4,4,6977,16.2,7,3.8,-3.0,0.76,Low,Low,0
13425,25716,478155,51,24473,89950,98045,92924,169,77.1,3.9,25.0,11,24,15,42030,1.3,2,5.0,28.0,0.99,Low,Low,0
14095,1854,38867,3091,1961,37903,7580,41470,140,51.4,3.9,26.0,9,18,24,35665,60.1,2,4.3,63.0,0.94,Low,Low,0
12187,7,77,496,6,26951,29,41785,51,65.7,2.1,19.0,2,7,6,13413,15.9,4,4.4,10.0,0.77,Medium,Low,0
12419,20208,502498,1895,23402,71715,78169,84272,144,63.1,4.8,22.0,4,9,24,59569,23.3,3,3.5,33.0,0.99,Medium,Low,0
14685,3839,48263,578,3249,18582,13750,24580,56,50.2,4.0,20.0,4,8,13,10929,32.2,4,3.2,39.0,0.76,Medium,Low,0
